timestamp,location,serial,power,cadence,front,rear
2023-04-28T19:46:22.121437,crank,52853,190.4,90.5,40,8
2023-04-28T19:46:22.135211,wheel,19005,187.6,88.0,40,8
2023-04-28T19:46:22.634840,wheel,19005,182.4,88.0,40,8
2023-04-28T19:46:23.134134,wheel,19005,186.8,88.0,40,8
2023-04-28T19:46:23.619636,crank,52853,195.5,89.8,40,8
2023-04-28T19:46:23.633379,wheel,19005,188.0,88.0,40,8
2023-04-28T19:46:24.368750,crank,52853,201.1,90.1,40,8
2023-04-28T19:46:24.632260,wheel,19005,189.2,88.0,40,8
2023-04-28T19:46:25.131556,wheel,19005,188.7,89.0,40,8
2023-04-28T19:46:25.368058,crank,52853,202.4,89.5,40,8
2023-04-28T19:46:25.630913,wheel,19005,184.8,89.0,40,8
2023-04-28T19:46:25.867162,crank,52853,212.1,91.0,40,8
2023-04-28T19:46:26.116766,crank,52853,200.2,89.7,40,8
2023-04-28T19:46:26.130325,wheel,19005,184.6,89.0,40,8
2023-04-28T19:46:26.865761,crank,52853,200.9,91.2,40,8
2023-04-28T19:46:27.378860,wheel,19005,187.7,88.0,40,8
2023-04-28T19:46:27.614843,crank,52853,202.7,90.0,40,8
2023-04-28T19:46:27.628458,wheel,19005,182.3,88.0,40,8
2023-04-28T19:46:28.128092,wheel,19005,190.3,89.0,40,8
2023-04-28T19:46:28.627258,wheel,19005,192.9,89.0,40,8
2023-04-28T19:46:28.863895,crank,52853,197.1,90.1,40,8
2023-04-28T19:46:29.612443,crank,52853,200.3,88.2,40,8
2023-04-28T19:46:29.875717,wheel,19005,181.3,89.0,40,8
2023-04-28T19:46:30.125514,wheel,19005,180.5,89.0,40,8
2023-04-28T19:46:30.361571,crank,52853,218.4,87.1,40,8
2023-04-28T19:46:30.624834,wheel,19005,187.2,88.0,40,8
2023-04-28T19:46:31.110651,crank,52853,216.3,94.0,40,8
2023-04-28T19:46:31.124255,wheel,19005,192.7,88.0,40,8
2023-04-28T19:46:31.859775,crank,52853,188.1,90.2,40,8
2023-04-28T19:46:32.109467,crank,52853,205.7,90.5,40,8
2023-04-28T19:46:32.122956,wheel,19005,199.8,88.0,40,8
2023-04-28T19:46:32.622333,wheel,19005,191.5,88.0,40,8
2023-04-28T19:46:32.858786,crank,52853,203.0,90.2,40,8
2023-04-28T19:46:33.121730,wheel,19005,182.8,88.0,40,8
2023-04-28T19:46:33.607754,crank,52853,203.1,91.0,40,8
2023-04-28T19:46:33.621158,wheel,19005,178.4,89.0,40,8
2023-04-28T19:46:34.107065,crank,52853,202.8,89.7,40,8
2023-04-28T19:46:34.619901,wheel,19005,186.3,89.0,40,8
2023-04-28T19:46:35.106366,crank,52853,208.9,90.8,40,8
2023-04-28T19:46:35.119524,wheel,19005,189.9,89.0,40,8
2023-04-28T19:46:35.855182,crank,52853,208.1,89.3,40,8
2023-04-28T19:46:36.104676,crank,52853,195.5,91.6,40,8
2023-04-28T19:46:36.118030,wheel,19005,180.5,89.0,40,8
